Namespace(batch_size=256, dataset='bipalindrome', device='cuda:0', gpu_mem_frac=0.5, input_dim=1, input_length=10, learning_rate=0.0001, log_device_placement=False, max_norm=10.0, model_type='LSTM', num_classes=1, num_hidden=256, summary_path='./summaries/', train_steps=3000)
cuda:0
Load binary palindrome dataset ...
input length: 10
input length: 41
Initializing LSTM model ...
seq length: 41
input dim: 1
hidden dim: 256
num classes: 2
batch_size: 256
device: cuda:0


[2020-11-20 01:12] Train Step 0000/3000, Batch Size = 256,                    Examples/Sec = 505.27, Accuracy = 0.40, Loss = 0.707
[2020-11-20 01:12] Train Step 0060/3000, Batch Size = 256,                    Examples/Sec = 2981.11, Accuracy = 0.69, Loss = 0.672
[2020-11-20 01:13] Train Step 0120/3000, Batch Size = 256,                    Examples/Sec = 3031.35, Accuracy = 0.67, Loss = 0.641
[2020-11-20 01:13] Train Step 0180/3000, Batch Size = 256,                    Examples/Sec = 2331.95, Accuracy = 0.69, Loss = 0.618
[2020-11-20 01:13] Train Step 0240/3000, Batch Size = 256,                    Examples/Sec = 2210.21, Accuracy = 0.68, Loss = 0.628
[2020-11-20 01:13] Train Step 0300/3000, Batch Size = 256,                    Examples/Sec = 2324.36, Accuracy = 0.64, Loss = 0.654
[2020-11-20 01:13] Train Step 0360/3000, Batch Size = 256,                    Examples/Sec = 2293.49, Accuracy = 0.63, Loss = 0.656
[2020-11-20 01:13] Train Step 0420/3000, Batch Size = 256,                    Examples/Sec = 3032.49, Accuracy = 0.64, Loss = 0.655
[2020-11-20 01:13] Train Step 0480/3000, Batch Size = 256,                    Examples/Sec = 2294.46, Accuracy = 0.66, Loss = 0.641
[2020-11-20 01:13] Train Step 0540/3000, Batch Size = 256,                    Examples/Sec = 2187.87, Accuracy = 0.67, Loss = 0.626
[2020-11-20 01:13] Train Step 0600/3000, Batch Size = 256,                    Examples/Sec = 2376.90, Accuracy = 0.64, Loss = 0.634
[2020-11-20 01:14] Train Step 0660/3000, Batch Size = 256,                    Examples/Sec = 2317.88, Accuracy = 0.69, Loss = 0.611
[2020-11-20 01:14] Train Step 0720/3000, Batch Size = 256,                    Examples/Sec = 2321.02, Accuracy = 0.71, Loss = 0.589
[2020-11-20 01:14] Train Step 0780/3000, Batch Size = 256,                    Examples/Sec = 3036.04, Accuracy = 0.66, Loss = 0.630
[2020-11-20 01:14] Train Step 0840/3000, Batch Size = 256,                    Examples/Sec = 2313.26, Accuracy = 0.66, Loss = 0.606
[2020-11-20 01:14] Train Step 0900/3000, Batch Size = 256,                    Examples/Sec = 3009.81, Accuracy = 0.70, Loss = 0.574
[2020-11-20 01:14] Train Step 0960/3000, Batch Size = 256,                    Examples/Sec = 2229.69, Accuracy = 0.66, Loss = 0.625
[2020-11-20 01:14] Train Step 1020/3000, Batch Size = 256,                    Examples/Sec = 3031.98, Accuracy = 0.70, Loss = 0.587
[2020-11-20 01:14] Train Step 1080/3000, Batch Size = 256,                    Examples/Sec = 2311.65, Accuracy = 0.68, Loss = 0.593
[2020-11-20 01:14] Train Step 1140/3000, Batch Size = 256,                    Examples/Sec = 2947.99, Accuracy = 0.70, Loss = 0.575
[2020-11-20 01:14] Train Step 1200/3000, Batch Size = 256,                    Examples/Sec = 3050.93, Accuracy = 0.69, Loss = 0.626
[2020-11-20 01:15] Train Step 1260/3000, Batch Size = 256,                    Examples/Sec = 3079.12, Accuracy = 0.68, Loss = 0.610
[2020-11-20 01:15] Train Step 1320/3000, Batch Size = 256,                    Examples/Sec = 2208.52, Accuracy = 0.70, Loss = 0.596
[2020-11-20 01:15] Train Step 1380/3000, Batch Size = 256,                    Examples/Sec = 2124.79, Accuracy = 0.62, Loss = 0.655
[2020-11-20 01:15] Train Step 1440/3000, Batch Size = 256,                    Examples/Sec = 2322.12, Accuracy = 0.70, Loss = 0.593
[2020-11-20 01:15] Train Step 1500/3000, Batch Size = 256,                    Examples/Sec = 3077.99, Accuracy = 0.67, Loss = 0.598
[2020-11-20 01:15] Train Step 1560/3000, Batch Size = 256,                    Examples/Sec = 2377.15, Accuracy = 0.68, Loss = 0.642
[2020-11-20 01:15] Train Step 1620/3000, Batch Size = 256,                    Examples/Sec = 2305.23, Accuracy = 0.66, Loss = 0.649
[2020-11-20 01:15] Train Step 1680/3000, Batch Size = 256,                    Examples/Sec = 2320.49, Accuracy = 0.66, Loss = 0.621
[2020-11-20 01:15] Train Step 1740/3000, Batch Size = 256,                    Examples/Sec = 2913.83, Accuracy = 0.68, Loss = 0.617
[2020-11-20 01:16] Train Step 1800/3000, Batch Size = 256,                    Examples/Sec = 2393.80, Accuracy = 0.70, Loss = 0.596
[2020-11-20 01:16] Train Step 1860/3000, Batch Size = 256,                    Examples/Sec = 2575.09, Accuracy = 0.67, Loss = 0.613
[2020-11-20 01:16] Train Step 1920/3000, Batch Size = 256,                    Examples/Sec = 2259.98, Accuracy = 0.65, Loss = 0.619
[2020-11-20 01:16] Train Step 1980/3000, Batch Size = 256,                    Examples/Sec = 2273.69, Accuracy = 0.70, Loss = 0.586
[2020-11-20 01:16] Train Step 2040/3000, Batch Size = 256,                    Examples/Sec = 2233.13, Accuracy = 0.65, Loss = 0.606
[2020-11-20 01:16] Train Step 2100/3000, Batch Size = 256,                    Examples/Sec = 2329.59, Accuracy = 0.67, Loss = 0.606
[2020-11-20 01:16] Train Step 2160/3000, Batch Size = 256,                    Examples/Sec = 2300.54, Accuracy = 0.69, Loss = 0.568
[2020-11-20 01:16] Train Step 2220/3000, Batch Size = 256,                    Examples/Sec = 2357.29, Accuracy = 0.67, Loss = 0.604
[2020-11-20 01:16] Train Step 2280/3000, Batch Size = 256,                    Examples/Sec = 2289.77, Accuracy = 0.65, Loss = 0.640
[2020-11-20 01:17] Train Step 2340/3000, Batch Size = 256,                    Examples/Sec = 2295.38, Accuracy = 0.64, Loss = 0.623
