Namespace(batch_size=256, dataset='bipalindrome', device='cuda:0', gpu_mem_frac=0.5, input_dim=1, input_length=20, learning_rate=0.0001, log_device_placement=False, max_norm=10.0, model_type='LSTM', num_classes=1, num_hidden=256, summary_path='./summaries/', train_steps=3000)
cuda:0
Load binary palindrome dataset ...
input length: 20
input length: 81
Initializing LSTM model ...
seq length: 81
input dim: 1
hidden dim: 256
num classes: 2
batch_size: 256
device: cuda:0


W_gx True
W_gh True
b_g True
W_ix True
W_ih True
b_i True
W_fx True
W_fh True
b_f True
W_ox True
W_oh True
b_o True
W_ph True
b_p True
embedding.weight True
[2020-11-20 15:36] Train Step 0000/3000, Batch Size = 256,                    Examples/Sec = 473.99, Accuracy = 0.48, Loss = 2.434
[2020-11-20 15:37] Train Step 0060/3000, Batch Size = 256,                    Examples/Sec = 1471.08, Accuracy = 0.62, Loss = 0.637
[2020-11-20 15:37] Train Step 0120/3000, Batch Size = 256,                    Examples/Sec = 1219.05, Accuracy = 0.69, Loss = 0.599
[2020-11-20 15:37] Train Step 0180/3000, Batch Size = 256,                    Examples/Sec = 1075.73, Accuracy = 0.60, Loss = 0.642
[2020-11-20 15:37] Train Step 0240/3000, Batch Size = 256,                    Examples/Sec = 1797.02, Accuracy = 0.66, Loss = 0.610
[2020-11-20 15:37] Train Step 0300/3000, Batch Size = 256,                    Examples/Sec = 1784.03, Accuracy = 0.67, Loss = 0.610
[2020-11-20 15:37] Train Step 0360/3000, Batch Size = 256,                    Examples/Sec = 1774.45, Accuracy = 0.66, Loss = 0.618
[2020-11-20 15:38] Train Step 0420/3000, Batch Size = 256,                    Examples/Sec = 1332.59, Accuracy = 0.68, Loss = 0.596
[2020-11-20 15:38] Train Step 0480/3000, Batch Size = 256,                    Examples/Sec = 1366.06, Accuracy = 0.66, Loss = 0.651
[2020-11-20 15:38] Train Step 0540/3000, Batch Size = 256,                    Examples/Sec = 1452.48, Accuracy = 0.66, Loss = 0.614
[2020-11-20 15:38] Train Step 0600/3000, Batch Size = 256,                    Examples/Sec = 1687.20, Accuracy = 0.67, Loss = 0.617
[2020-11-20 15:38] Train Step 0660/3000, Batch Size = 256,                    Examples/Sec = 1365.29, Accuracy = 0.70, Loss = 0.581
[2020-11-20 15:38] Train Step 0720/3000, Batch Size = 256,                    Examples/Sec = 1488.58, Accuracy = 0.70, Loss = 0.577
[2020-11-20 15:39] Train Step 0780/3000, Batch Size = 256,                    Examples/Sec = 1485.63, Accuracy = 0.68, Loss = 0.632
[2020-11-20 15:39] Train Step 0840/3000, Batch Size = 256,                    Examples/Sec = 1369.85, Accuracy = 0.70, Loss = 0.585
[2020-11-20 15:39] Train Step 0900/3000, Batch Size = 256,                    Examples/Sec = 1363.09, Accuracy = 0.62, Loss = 0.669
[2020-11-20 15:39] Train Step 0960/3000, Batch Size = 256,                    Examples/Sec = 1802.05, Accuracy = 0.67, Loss = 0.618
[2020-11-20 15:39] Train Step 1020/3000, Batch Size = 256,                    Examples/Sec = 1817.24, Accuracy = 0.64, Loss = 0.623
[2020-11-20 15:40] Train Step 1080/3000, Batch Size = 256,                    Examples/Sec = 1791.33, Accuracy = 0.62, Loss = 0.657
[2020-11-20 15:40] Train Step 1140/3000, Batch Size = 256,                    Examples/Sec = 1379.38, Accuracy = 0.64, Loss = 0.640
[2020-11-20 15:40] Train Step 1200/3000, Batch Size = 256,                    Examples/Sec = 1760.91, Accuracy = 0.66, Loss = 0.621
[2020-11-20 15:40] Train Step 1260/3000, Batch Size = 256,                    Examples/Sec = 1396.89, Accuracy = 0.70, Loss = 0.613
[2020-11-20 15:40] Train Step 1320/3000, Batch Size = 256,                    Examples/Sec = 1438.77, Accuracy = 0.64, Loss = 0.606
[2020-11-20 15:40] Train Step 1380/3000, Batch Size = 256,                    Examples/Sec = 1657.54, Accuracy = 0.68, Loss = 0.576
[2020-11-20 15:41] Train Step 1440/3000, Batch Size = 256,                    Examples/Sec = 1817.75, Accuracy = 0.71, Loss = 0.584
[2020-11-20 15:41] Train Step 1500/3000, Batch Size = 256,                    Examples/Sec = 1793.73, Accuracy = 0.70, Loss = 0.552
[2020-11-20 15:41] Train Step 1560/3000, Batch Size = 256,                    Examples/Sec = 1752.09, Accuracy = 0.64, Loss = 0.642
[2020-11-20 15:41] Train Step 1620/3000, Batch Size = 256,                    Examples/Sec = 1740.11, Accuracy = 0.68, Loss = 0.586
[2020-11-20 15:41] Train Step 1680/3000, Batch Size = 256,                    Examples/Sec = 1746.81, Accuracy = 0.69, Loss = 0.597
[2020-11-20 15:41] Train Step 1740/3000, Batch Size = 256,                    Examples/Sec = 1726.86, Accuracy = 0.66, Loss = 0.619
