Namespace(batch_size=256, dataset='bipalindrome', device='cuda:0', gpu_mem_frac=0.5, input_dim=1, input_length=20, learning_rate=0.0001, log_device_placement=False, max_norm=10.0, model_type='peepLSTM', num_classes=1, num_hidden=256, summary_path='./summaries/', train_steps=3000)
cuda:0
Load binary palindrome dataset ...
input length: 20
input length: 81
Initializing peephole LSTM model ...
seq length: 81
input dim: 1
hidden dim: 256
num classes: 2
batch_size: 256
device: cuda:0


W_fx True
W_fh True
b_f True
W_ix True
W_ih True
b_i True
W_ox True
W_oh True
b_o True
W_cx True
b_c True
W_ph True
b_p True
embedding.weight True
[2020-11-20 15:17] Train Step 0000/3000, Batch Size = 256,                    Examples/Sec = 476.86, Accuracy = 0.62, Loss = 2.040
[2020-11-20 15:17] Train Step 0060/3000, Batch Size = 256,                    Examples/Sec = 1760.82, Accuracy = 0.72, Loss = 0.498
[2020-11-20 15:17] Train Step 0120/3000, Batch Size = 256,                    Examples/Sec = 1383.46, Accuracy = 0.97, Loss = 0.153
[2020-11-20 15:17] Train Step 0180/3000, Batch Size = 256,                    Examples/Sec = 1722.63, Accuracy = 0.98, Loss = 0.074
[2020-11-20 15:17] Train Step 0240/3000, Batch Size = 256,                    Examples/Sec = 2178.08, Accuracy = 0.99, Loss = 0.021
[2020-11-20 15:17] Train Step 0300/3000, Batch Size = 256,                    Examples/Sec = 1316.33, Accuracy = 1.00, Loss = 0.005
[2020-11-20 15:18] Train Step 0360/3000, Batch Size = 256,                    Examples/Sec = 1311.69, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:18] Train Step 0420/3000, Batch Size = 256,                    Examples/Sec = 1667.95, Accuracy = 1.00, Loss = 0.002
[2020-11-20 15:18] Train Step 0480/3000, Batch Size = 256,                    Examples/Sec = 1346.41, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:18] Train Step 0540/3000, Batch Size = 256,                    Examples/Sec = 1795.83, Accuracy = 1.00, Loss = 0.001
[2020-11-20 15:18] Train Step 0600/3000, Batch Size = 256,                    Examples/Sec = 1648.58, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:18] Train Step 0660/3000, Batch Size = 256,                    Examples/Sec = 1629.69, Accuracy = 1.00, Loss = 0.001
[2020-11-20 15:19] Train Step 0720/3000, Batch Size = 256,                    Examples/Sec = 1349.79, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:19] Train Step 0780/3000, Batch Size = 256,                    Examples/Sec = 1389.49, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:19] Train Step 0840/3000, Batch Size = 256,                    Examples/Sec = 1345.51, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:19] Train Step 0900/3000, Batch Size = 256,                    Examples/Sec = 2089.00, Accuracy = 1.00, Loss = 0.010
[2020-11-20 15:19] Train Step 0960/3000, Batch Size = 256,                    Examples/Sec = 1370.82, Accuracy = 1.00, Loss = 0.001
[2020-11-20 15:19] Train Step 1020/3000, Batch Size = 256,                    Examples/Sec = 1370.78, Accuracy = 1.00, Loss = 0.004
[2020-11-20 15:20] Train Step 1080/3000, Batch Size = 256,                    Examples/Sec = 1529.39, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:20] Train Step 1140/3000, Batch Size = 256,                    Examples/Sec = 2145.64, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:20] Train Step 1200/3000, Batch Size = 256,                    Examples/Sec = 2229.85, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:20] Train Step 1260/3000, Batch Size = 256,                    Examples/Sec = 1342.75, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:20] Train Step 1320/3000, Batch Size = 256,                    Examples/Sec = 1631.07, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:20] Train Step 1380/3000, Batch Size = 256,                    Examples/Sec = 1717.19, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:20] Train Step 1440/3000, Batch Size = 256,                    Examples/Sec = 1559.62, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:21] Train Step 1500/3000, Batch Size = 256,                    Examples/Sec = 1362.78, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:21] Train Step 1560/3000, Batch Size = 256,                    Examples/Sec = 1595.27, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:21] Train Step 1620/3000, Batch Size = 256,                    Examples/Sec = 1684.15, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:21] Train Step 1680/3000, Batch Size = 256,                    Examples/Sec = 1784.84, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:21] Train Step 1740/3000, Batch Size = 256,                    Examples/Sec = 1721.45, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:21] Train Step 1800/3000, Batch Size = 256,                    Examples/Sec = 1650.56, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:22] Train Step 1860/3000, Batch Size = 256,                    Examples/Sec = 1629.50, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:22] Train Step 1920/3000, Batch Size = 256,                    Examples/Sec = 1658.50, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:22] Train Step 1980/3000, Batch Size = 256,                    Examples/Sec = 1326.53, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:22] Train Step 2040/3000, Batch Size = 256,                    Examples/Sec = 1682.56, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:22] Train Step 2100/3000, Batch Size = 256,                    Examples/Sec = 1506.92, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:22] Train Step 2160/3000, Batch Size = 256,                    Examples/Sec = 2021.49, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:23] Train Step 2220/3000, Batch Size = 256,                    Examples/Sec = 1670.95, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:23] Train Step 2280/3000, Batch Size = 256,                    Examples/Sec = 2081.30, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:23] Train Step 2340/3000, Batch Size = 256,                    Examples/Sec = 1405.58, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:23] Train Step 2400/3000, Batch Size = 256,                    Examples/Sec = 2067.33, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:23] Train Step 2460/3000, Batch Size = 256,                    Examples/Sec = 1408.35, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:23] Train Step 2520/3000, Batch Size = 256,                    Examples/Sec = 1655.16, Accuracy = 1.00, Loss = 0.000
[2020-11-20 15:24] Train Step 2580/3000, Batch Size = 256,                    Examples/Sec = 1761.44, Accuracy = 1.00, Loss = 0.000
