Namespace(batch_size=64, device='cuda:0', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, lstm_num_hidden=128, lstm_num_layers=2, max_norm=5.0, print_every=50, sample_every=100, seq_length=30, summary_path='./summaries/', train_steps=1000000.0, txt_file='./assets/book_EN_grimms_fairy_tails.txt')
cuda:0
Initialize dataset with 550595 characters, 91 unique.
[2020-11-20 18:45] Train Step 0049/1000000.000000, Batch Size = 64,                     Examples/Sec = 3122.29, Accuracy = 0.31, Loss = 2.667
[2020-11-20 18:45] Train Step 0099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2155.17, Accuracy = 0.36, Loss = 2.429
[2020-11-20 18:45] Train Step 0149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2649.23, Accuracy = 0.41, Loss = 2.086
[2020-11-20 18:45] Train Step 0199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2523.93, Accuracy = 0.44, Loss = 1.955
[2020-11-20 18:45] Train Step 0249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2508.86, Accuracy = 0.46, Loss = 1.901
[2020-11-20 18:45] Train Step 0299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2367.97, Accuracy = 0.46, Loss = 1.836
[2020-11-20 18:45] Train Step 0349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2533.01, Accuracy = 0.51, Loss = 1.720
[2020-11-20 18:45] Train Step 0399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2236.83, Accuracy = 0.52, Loss = 1.626
[2020-11-20 18:45] Train Step 0449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2212.08, Accuracy = 0.52, Loss = 1.633
[2020-11-20 18:45] Train Step 0499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2199.35, Accuracy = 0.52, Loss = 1.651
[2020-11-20 18:45] Train Step 0549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2537.96, Accuracy = 0.51, Loss = 1.678
[2020-11-20 18:45] Train Step 0599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2279.84, Accuracy = 0.52, Loss = 1.576
[2020-11-20 18:45] Train Step 0649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2251.11, Accuracy = 0.54, Loss = 1.553
[2020-11-20 18:46] Train Step 0699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2443.48, Accuracy = 0.54, Loss = 1.561
[2020-11-20 18:46] Train Step 0749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2397.52, Accuracy = 0.55, Loss = 1.502
[2020-11-20 18:46] Train Step 0799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2335.28, Accuracy = 0.54, Loss = 1.524
[2020-11-20 18:46] Train Step 0849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2657.99, Accuracy = 0.56, Loss = 1.467
[2020-11-20 18:46] Train Step 0899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2328.01, Accuracy = 0.55, Loss = 1.479
[2020-11-20 18:46] Train Step 0949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2529.05, Accuracy = 0.55, Loss = 1.516
[2020-11-20 18:46] Train Step 0999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2338.45, Accuracy = 0.53, Loss = 1.544
[2020-11-20 18:46] Train Step 1049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2161.30, Accuracy = 0.58, Loss = 1.438
[2020-11-20 18:46] Train Step 1099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2343.29, Accuracy = 0.59, Loss = 1.350
[2020-11-20 18:46] Train Step 1149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2260.76, Accuracy = 0.56, Loss = 1.468
[2020-11-20 18:46] Train Step 1199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2369.48, Accuracy = 0.59, Loss = 1.361
[2020-11-20 18:46] Train Step 1249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2305.83, Accuracy = 0.57, Loss = 1.433
[2020-11-20 18:46] Train Step 1299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2281.88, Accuracy = 0.57, Loss = 1.402
[2020-11-20 18:46] Train Step 1349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2218.07, Accuracy = 0.58, Loss = 1.367
[2020-11-20 18:46] Train Step 1399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2454.09, Accuracy = 0.58, Loss = 1.370
[2020-11-20 18:46] Train Step 1449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2172.58, Accuracy = 0.60, Loss = 1.323
[2020-11-20 18:46] Train Step 1499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2325.26, Accuracy = 0.57, Loss = 1.387
[2020-11-20 18:46] Train Step 1549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2389.62, Accuracy = 0.58, Loss = 1.383
[2020-11-20 18:46] Train Step 1599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2605.66, Accuracy = 0.59, Loss = 1.298
