Namespace(batch_size=64, device='cuda:0', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, lstm_num_hidden=128, lstm_num_layers=2, max_norm=5.0, print_every=50, sample_every=100, seq_length=30, summary_path='./summaries/', train_steps=1000000.0, txt_file='./assets/book_EN_grimms_fairy_tails.txt')
cuda:0
./assets/book_EN_grimms_fairy_tails.txt
Initialize dataset with 550595 characters, 91 unique.
[2020-11-20 19:07] Train Step 0049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2471.35, Accuracy = 0.30, Loss = 2.582
[2020-11-20 19:07] Train Step 0099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2390.77, Accuracy = 0.39, Loss = 2.132
[2020-11-20 19:07] Train Step 0149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2285.22, Accuracy = 0.44, Loss = 1.964
[2020-11-20 19:07] Train Step 0199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2245.65, Accuracy = 0.44, Loss = 1.928
[2020-11-20 19:07] Train Step 0249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2289.58, Accuracy = 0.50, Loss = 1.772
[2020-11-20 19:07] Train Step 0299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2623.64, Accuracy = 0.48, Loss = 1.783
[2020-11-20 19:07] Train Step 0349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2353.93, Accuracy = 0.49, Loss = 1.740
[2020-11-20 19:07] Train Step 0399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2617.61, Accuracy = 0.52, Loss = 1.611
[2020-11-20 19:07] Train Step 0449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2421.04, Accuracy = 0.51, Loss = 1.622
[2020-11-20 19:07] Train Step 0499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2526.93, Accuracy = 0.53, Loss = 1.602
[2020-11-20 19:07] Train Step 0549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2421.76, Accuracy = 0.54, Loss = 1.550
[2020-11-20 19:07] Train Step 0599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2188.70, Accuracy = 0.53, Loss = 1.556
[2020-11-20 19:07] Train Step 0649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2232.63, Accuracy = 0.55, Loss = 1.481
[2020-11-20 19:07] Train Step 0699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2413.51, Accuracy = 0.54, Loss = 1.518
[2020-11-20 19:07] Train Step 0749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2459.82, Accuracy = 0.56, Loss = 1.418
[2020-11-20 19:07] Train Step 0799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2196.24, Accuracy = 0.56, Loss = 1.410
[2020-11-20 19:07] Train Step 0849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2339.33, Accuracy = 0.57, Loss = 1.412
[2020-11-20 19:07] Train Step 0899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2415.86, Accuracy = 0.59, Loss = 1.365
[2020-11-20 19:07] Train Step 0949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2345.34, Accuracy = 0.59, Loss = 1.360
[2020-11-20 19:07] Train Step 0999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2414.81, Accuracy = 0.57, Loss = 1.401
[2020-11-20 19:07] Train Step 1049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2263.98, Accuracy = 0.58, Loss = 1.368
[2020-11-20 19:07] Train Step 1099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2271.76, Accuracy = 0.58, Loss = 1.359
[2020-11-20 19:07] Train Step 1149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2437.55, Accuracy = 0.58, Loss = 1.338
[2020-11-20 19:07] Train Step 1199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2364.05, Accuracy = 0.56, Loss = 1.464
[2020-11-20 19:07] Train Step 1249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2262.38, Accuracy = 0.59, Loss = 1.385
[2020-11-20 19:07] Train Step 1299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2254.30, Accuracy = 0.58, Loss = 1.374
[2020-11-20 19:07] Train Step 1349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2618.47, Accuracy = 0.60, Loss = 1.330
[2020-11-20 19:07] Train Step 1399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2394.50, Accuracy = 0.59, Loss = 1.326
[2020-11-20 19:07] Train Step 1449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2625.80, Accuracy = 0.58, Loss = 1.353
[2020-11-20 19:07] Train Step 1499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2245.61, Accuracy = 0.59, Loss = 1.333
[2020-11-20 19:08] Train Step 1549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2279.16, Accuracy = 0.59, Loss = 1.297
[2020-11-20 19:08] Train Step 1599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2081.22, Accuracy = 0.61, Loss = 1.271
[2020-11-20 19:08] Train Step 1649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2375.39, Accuracy = 0.58, Loss = 1.374
[2020-11-20 19:08] Train Step 1699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2394.14, Accuracy = 0.58, Loss = 1.348
[2020-11-20 19:08] Train Step 1749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2423.47, Accuracy = 0.59, Loss = 1.307
[2020-11-20 19:08] Train Step 1799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2400.60, Accuracy = 0.60, Loss = 1.308
[2020-11-20 19:08] Train Step 1849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2225.33, Accuracy = 0.61, Loss = 1.286
[2020-11-20 19:08] Train Step 1899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2235.75, Accuracy = 0.60, Loss = 1.255
[2020-11-20 19:08] Train Step 1949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2693.95, Accuracy = 0.60, Loss = 1.279
[2020-11-20 19:08] Train Step 1999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2467.78, Accuracy = 0.61, Loss = 1.258
[2020-11-20 19:08] Train Step 2049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2354.39, Accuracy = 0.61, Loss = 1.259
[2020-11-20 19:08] Train Step 2099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2537.68, Accuracy = 0.62, Loss = 1.233
[2020-11-20 19:08] Train Step 2149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2213.85, Accuracy = 0.62, Loss = 1.244
[2020-11-20 19:08] Train Step 2199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2293.75, Accuracy = 0.62, Loss = 1.253
[2020-11-20 19:08] Train Step 2249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2350.98, Accuracy = 0.63, Loss = 1.200
[2020-11-20 19:08] Train Step 2299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2430.62, Accuracy = 0.61, Loss = 1.244
[2020-11-20 19:08] Train Step 2349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2398.16, Accuracy = 0.61, Loss = 1.275
[2020-11-20 19:08] Train Step 2399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2262.72, Accuracy = 0.60, Loss = 1.262
[2020-11-20 19:08] Train Step 2449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2330.09, Accuracy = 0.61, Loss = 1.237
[2020-11-20 19:08] Train Step 2499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2380.19, Accuracy = 0.61, Loss = 1.266
[2020-11-20 19:08] Train Step 2549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2195.25, Accuracy = 0.61, Loss = 1.236
[2020-11-20 19:08] Train Step 2599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2472.30, Accuracy = 0.61, Loss = 1.222
[2020-11-20 19:08] Train Step 2649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2408.03, Accuracy = 0.62, Loss = 1.183
[2020-11-20 19:08] Train Step 2699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2222.33, Accuracy = 0.62, Loss = 1.204
[2020-11-20 19:08] Train Step 2749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2305.45, Accuracy = 0.64, Loss = 1.193
[2020-11-20 19:08] Train Step 2799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2280.33, Accuracy = 0.62, Loss = 1.223
[2020-11-20 19:08] Train Step 2849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2684.09, Accuracy = 0.63, Loss = 1.186
[2020-11-20 19:08] Train Step 2899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2306.62, Accuracy = 0.63, Loss = 1.206
[2020-11-20 19:08] Train Step 2949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2191.29, Accuracy = 0.62, Loss = 1.191
[2020-11-20 19:08] Train Step 2999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2329.48, Accuracy = 0.63, Loss = 1.194
[2020-11-20 19:08] Train Step 3049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2239.05, Accuracy = 0.62, Loss = 1.172
[2020-11-20 19:08] Train Step 3099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2227.44, Accuracy = 0.62, Loss = 1.219
[2020-11-20 19:08] Train Step 3149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2497.26, Accuracy = 0.64, Loss = 1.163
[2020-11-20 19:08] Train Step 3199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2293.73, Accuracy = 0.61, Loss = 1.250
[2020-11-20 19:08] Train Step 3249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2297.30, Accuracy = 0.62, Loss = 1.204
[2020-11-20 19:08] Train Step 3299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2283.78, Accuracy = 0.63, Loss = 1.185
[2020-11-20 19:08] Train Step 3349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2292.42, Accuracy = 0.64, Loss = 1.166
[2020-11-20 19:08] Train Step 3399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2270.68, Accuracy = 0.63, Loss = 1.196
[2020-11-20 19:08] Train Step 3449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2360.31, Accuracy = 0.64, Loss = 1.167
[2020-11-20 19:08] Train Step 3499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2388.36, Accuracy = 0.61, Loss = 1.216
[2020-11-20 19:08] Train Step 3549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2260.55, Accuracy = 0.64, Loss = 1.184
[2020-11-20 19:09] Train Step 3599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2721.23, Accuracy = 0.63, Loss = 1.219
[2020-11-20 19:09] Train Step 3649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2429.96, Accuracy = 0.61, Loss = 1.211
[2020-11-20 19:09] Train Step 3699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2240.14, Accuracy = 0.64, Loss = 1.159
[2020-11-20 19:09] Train Step 3749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2348.35, Accuracy = 0.63, Loss = 1.155
[2020-11-20 19:09] Train Step 3799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2349.73, Accuracy = 0.63, Loss = 1.164
[2020-11-20 19:09] Train Step 3849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2346.81, Accuracy = 0.63, Loss = 1.169
[2020-11-20 19:09] Train Step 3899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2225.21, Accuracy = 0.62, Loss = 1.188
[2020-11-20 19:09] Train Step 3949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2303.20, Accuracy = 0.61, Loss = 1.242
[2020-11-20 19:09] Train Step 3999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2248.11, Accuracy = 0.64, Loss = 1.146
[2020-11-20 19:09] Train Step 4049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2488.21, Accuracy = 0.63, Loss = 1.160
[2020-11-20 19:09] Train Step 4099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2247.26, Accuracy = 0.60, Loss = 1.255
[2020-11-20 19:09] Train Step 4149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2537.53, Accuracy = 0.65, Loss = 1.112
[2020-11-20 19:09] Train Step 4199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2234.75, Accuracy = 0.62, Loss = 1.170
[2020-11-20 19:09] Train Step 4249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2483.33, Accuracy = 0.64, Loss = 1.149
[2020-11-20 19:09] Train Step 4299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2160.36, Accuracy = 0.64, Loss = 1.113
[2020-11-20 19:09] Train Step 4349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2242.91, Accuracy = 0.64, Loss = 1.142
[2020-11-20 19:09] Train Step 4399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2367.34, Accuracy = 0.64, Loss = 1.145
[2020-11-20 19:09] Train Step 4449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2300.16, Accuracy = 0.64, Loss = 1.172
[2020-11-20 19:09] Train Step 4499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2573.44, Accuracy = 0.64, Loss = 1.121
[2020-11-20 19:09] Train Step 4549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2460.07, Accuracy = 0.65, Loss = 1.097
[2020-11-20 19:09] Train Step 4599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2264.53, Accuracy = 0.65, Loss = 1.113
[2020-11-20 19:09] Train Step 4649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2340.51, Accuracy = 0.64, Loss = 1.111
[2020-11-20 19:09] Train Step 4699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2713.06, Accuracy = 0.65, Loss = 1.103
[2020-11-20 19:09] Train Step 4749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2274.93, Accuracy = 0.63, Loss = 1.154
[2020-11-20 19:09] Train Step 4799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2375.03, Accuracy = 0.63, Loss = 1.184
[2020-11-20 19:09] Train Step 4849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2286.62, Accuracy = 0.66, Loss = 1.081
[2020-11-20 19:09] Train Step 4899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2298.45, Accuracy = 0.66, Loss = 1.068
[2020-11-20 19:09] Train Step 4949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2382.58, Accuracy = 0.64, Loss = 1.113
[2020-11-20 19:09] Train Step 4999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2313.78, Accuracy = 0.66, Loss = 1.100
[2020-11-20 19:09] Train Step 5049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2245.55, Accuracy = 0.63, Loss = 1.166
[2020-11-20 19:09] Train Step 5099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2334.81, Accuracy = 0.64, Loss = 1.145
[2020-11-20 19:09] Train Step 5149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2374.23, Accuracy = 0.66, Loss = 1.080
[2020-11-20 19:09] Train Step 5199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2399.19, Accuracy = 0.66, Loss = 1.074
[2020-11-20 19:09] Train Step 5249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2229.85, Accuracy = 0.65, Loss = 1.124
[2020-11-20 19:09] Train Step 5299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2425.13, Accuracy = 0.65, Loss = 1.101
[2020-11-20 19:09] Train Step 5349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2424.87, Accuracy = 0.65, Loss = 1.072
[2020-11-20 19:09] Train Step 5399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2271.99, Accuracy = 0.65, Loss = 1.115
[2020-11-20 19:09] Train Step 5449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2263.83, Accuracy = 0.64, Loss = 1.102
[2020-11-20 19:09] Train Step 5499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2309.54, Accuracy = 0.66, Loss = 1.074
[2020-11-20 19:09] Train Step 5549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2250.50, Accuracy = 0.64, Loss = 1.124
