Namespace(batch_size=64, device='cuda:0', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, lstm_num_hidden=128, lstm_num_layers=2, max_norm=5.0, print_every=50, sample_every=100, seq_length=30, summary_path='./summaries/', train_steps=1000000.0, txt_file='./assets/book_EN_democracy_in_the_US.txt')
cuda:0
./assets/book_EN_democracy_in_the_US.txt
Initialize dataset with 1148437 characters, 86 unique.
[2020-11-20 19:07] Train Step 0049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2483.31, Accuracy = 0.27, Loss = 2.824
[2020-11-20 19:07] Train Step 0099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2179.71, Accuracy = 0.35, Loss = 2.394
[2020-11-20 19:07] Train Step 0149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2329.46, Accuracy = 0.38, Loss = 2.202
[2020-11-20 19:07] Train Step 0199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2241.88, Accuracy = 0.41, Loss = 2.055
[2020-11-20 19:07] Train Step 0249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2259.77, Accuracy = 0.43, Loss = 1.971
[2020-11-20 19:07] Train Step 0299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2384.14, Accuracy = 0.46, Loss = 1.893
[2020-11-20 19:07] Train Step 0349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2438.28, Accuracy = 0.48, Loss = 1.784
[2020-11-20 19:07] Train Step 0399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2347.47, Accuracy = 0.51, Loss = 1.677
[2020-11-20 19:07] Train Step 0449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2364.17, Accuracy = 0.50, Loss = 1.680
[2020-11-20 19:07] Train Step 0499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2326.39, Accuracy = 0.53, Loss = 1.612
[2020-11-20 19:07] Train Step 0549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2315.76, Accuracy = 0.52, Loss = 1.618
[2020-11-20 19:07] Train Step 0599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2315.52, Accuracy = 0.57, Loss = 1.493
[2020-11-20 19:07] Train Step 0649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2274.39, Accuracy = 0.54, Loss = 1.579
[2020-11-20 19:07] Train Step 0699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2424.56, Accuracy = 0.57, Loss = 1.476
[2020-11-20 19:07] Train Step 0749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2445.48, Accuracy = 0.56, Loss = 1.486
[2020-11-20 19:07] Train Step 0799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2324.90, Accuracy = 0.56, Loss = 1.508
[2020-11-20 19:07] Train Step 0849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2251.84, Accuracy = 0.57, Loss = 1.446
[2020-11-20 19:07] Train Step 0899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2302.96, Accuracy = 0.57, Loss = 1.437
[2020-11-20 19:07] Train Step 0949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2369.77, Accuracy = 0.56, Loss = 1.502
[2020-11-20 19:07] Train Step 0999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2336.88, Accuracy = 0.57, Loss = 1.429
[2020-11-20 19:07] Train Step 1049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2250.33, Accuracy = 0.59, Loss = 1.365
[2020-11-20 19:07] Train Step 1099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2369.20, Accuracy = 0.58, Loss = 1.380
[2020-11-20 19:08] Train Step 1149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2700.10, Accuracy = 0.59, Loss = 1.340
[2020-11-20 19:08] Train Step 1199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2308.78, Accuracy = 0.59, Loss = 1.333
[2020-11-20 19:08] Train Step 1249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2347.04, Accuracy = 0.57, Loss = 1.416
[2020-11-20 19:08] Train Step 1299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2285.35, Accuracy = 0.58, Loss = 1.399
[2020-11-20 19:08] Train Step 1349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2513.04, Accuracy = 0.57, Loss = 1.388
[2020-11-20 19:08] Train Step 1399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2352.65, Accuracy = 0.60, Loss = 1.316
[2020-11-20 19:08] Train Step 1449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2315.62, Accuracy = 0.60, Loss = 1.344
[2020-11-20 19:08] Train Step 1499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2349.67, Accuracy = 0.60, Loss = 1.282
[2020-11-20 19:08] Train Step 1549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2421.83, Accuracy = 0.60, Loss = 1.340
[2020-11-20 19:08] Train Step 1599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2303.63, Accuracy = 0.59, Loss = 1.350
[2020-11-20 19:08] Train Step 1649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2315.98, Accuracy = 0.60, Loss = 1.330
[2020-11-20 19:08] Train Step 1699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2197.75, Accuracy = 0.60, Loss = 1.314
[2020-11-20 19:08] Train Step 1749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2461.99, Accuracy = 0.62, Loss = 1.278
[2020-11-20 19:08] Train Step 1799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2350.98, Accuracy = 0.58, Loss = 1.354
[2020-11-20 19:08] Train Step 1849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2234.26, Accuracy = 0.61, Loss = 1.340
[2020-11-20 19:08] Train Step 1899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2418.58, Accuracy = 0.60, Loss = 1.360
[2020-11-20 19:08] Train Step 1949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2189.34, Accuracy = 0.61, Loss = 1.291
[2020-11-20 19:08] Train Step 1999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2462.21, Accuracy = 0.59, Loss = 1.323
[2020-11-20 19:08] Train Step 2049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2511.51, Accuracy = 0.61, Loss = 1.299
[2020-11-20 19:08] Train Step 2099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2530.95, Accuracy = 0.63, Loss = 1.249
[2020-11-20 19:08] Train Step 2149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2250.46, Accuracy = 0.60, Loss = 1.304
[2020-11-20 19:08] Train Step 2199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2298.45, Accuracy = 0.61, Loss = 1.281
[2020-11-20 19:08] Train Step 2249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2532.72, Accuracy = 0.64, Loss = 1.193
[2020-11-20 19:08] Train Step 2299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2250.94, Accuracy = 0.62, Loss = 1.220
[2020-11-20 19:08] Train Step 2349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2441.39, Accuracy = 0.63, Loss = 1.241
[2020-11-20 19:08] Train Step 2399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2545.09, Accuracy = 0.61, Loss = 1.259
[2020-11-20 19:08] Train Step 2449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2281.55, Accuracy = 0.62, Loss = 1.245
[2020-11-20 19:08] Train Step 2499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2432.38, Accuracy = 0.63, Loss = 1.239
[2020-11-20 19:08] Train Step 2549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2321.40, Accuracy = 0.62, Loss = 1.241
[2020-11-20 19:08] Train Step 2599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2295.93, Accuracy = 0.64, Loss = 1.177
[2020-11-20 19:08] Train Step 2649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2415.36, Accuracy = 0.63, Loss = 1.214
[2020-11-20 19:08] Train Step 2699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2449.68, Accuracy = 0.62, Loss = 1.249
[2020-11-20 19:08] Train Step 2749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2310.65, Accuracy = 0.63, Loss = 1.191
[2020-11-20 19:08] Train Step 2799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2257.87, Accuracy = 0.60, Loss = 1.293
[2020-11-20 19:08] Train Step 2849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2255.00, Accuracy = 0.65, Loss = 1.190
[2020-11-20 19:08] Train Step 2899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2297.56, Accuracy = 0.63, Loss = 1.226
[2020-11-20 19:08] Train Step 2949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2363.45, Accuracy = 0.64, Loss = 1.226
[2020-11-20 19:08] Train Step 2999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2434.04, Accuracy = 0.63, Loss = 1.276
[2020-11-20 19:08] Train Step 3049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2271.26, Accuracy = 0.62, Loss = 1.256
[2020-11-20 19:08] Train Step 3099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2549.54, Accuracy = 0.63, Loss = 1.189
[2020-11-20 19:09] Train Step 3149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2463.21, Accuracy = 0.61, Loss = 1.234
[2020-11-20 19:09] Train Step 3199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2247.06, Accuracy = 0.63, Loss = 1.212
[2020-11-20 19:09] Train Step 3249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2529.12, Accuracy = 0.64, Loss = 1.155
[2020-11-20 19:09] Train Step 3299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2290.83, Accuracy = 0.64, Loss = 1.173
[2020-11-20 19:09] Train Step 3349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2250.84, Accuracy = 0.62, Loss = 1.275
[2020-11-20 19:09] Train Step 3399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2073.18, Accuracy = 0.63, Loss = 1.168
[2020-11-20 19:09] Train Step 3449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2328.81, Accuracy = 0.62, Loss = 1.214
[2020-11-20 19:09] Train Step 3499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2179.80, Accuracy = 0.62, Loss = 1.202
[2020-11-20 19:09] Train Step 3549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2243.04, Accuracy = 0.64, Loss = 1.144
[2020-11-20 19:09] Train Step 3599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2463.19, Accuracy = 0.64, Loss = 1.153
[2020-11-20 19:09] Train Step 3649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2310.79, Accuracy = 0.64, Loss = 1.160
[2020-11-20 19:09] Train Step 3699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2297.62, Accuracy = 0.62, Loss = 1.233
[2020-11-20 19:09] Train Step 3749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2278.64, Accuracy = 0.62, Loss = 1.223
[2020-11-20 19:09] Train Step 3799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2275.34, Accuracy = 0.65, Loss = 1.169
[2020-11-20 19:09] Train Step 3849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2238.57, Accuracy = 0.64, Loss = 1.179
[2020-11-20 19:09] Train Step 3899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2276.77, Accuracy = 0.61, Loss = 1.266
[2020-11-20 19:09] Train Step 3949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2325.41, Accuracy = 0.64, Loss = 1.217
[2020-11-20 19:09] Train Step 3999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2556.11, Accuracy = 0.63, Loss = 1.188
[2020-11-20 19:09] Train Step 4049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2388.53, Accuracy = 0.63, Loss = 1.219
[2020-11-20 19:09] Train Step 4099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2257.20, Accuracy = 0.64, Loss = 1.159
[2020-11-20 19:09] Train Step 4149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2435.05, Accuracy = 0.63, Loss = 1.193
[2020-11-20 19:09] Train Step 4199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2338.13, Accuracy = 0.64, Loss = 1.188
[2020-11-20 19:09] Train Step 4249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2231.90, Accuracy = 0.64, Loss = 1.231
[2020-11-20 19:09] Train Step 4299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2437.35, Accuracy = 0.64, Loss = 1.160
[2020-11-20 19:09] Train Step 4349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2450.79, Accuracy = 0.65, Loss = 1.188
[2020-11-20 19:09] Train Step 4399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2448.25, Accuracy = 0.65, Loss = 1.153
[2020-11-20 19:09] Train Step 4449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2297.97, Accuracy = 0.62, Loss = 1.220
[2020-11-20 19:09] Train Step 4499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2409.44, Accuracy = 0.62, Loss = 1.234
[2020-11-20 19:09] Train Step 4549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2300.08, Accuracy = 0.62, Loss = 1.260
[2020-11-20 19:09] Train Step 4599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2425.59, Accuracy = 0.64, Loss = 1.170
[2020-11-20 19:09] Train Step 4649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2265.45, Accuracy = 0.64, Loss = 1.167
[2020-11-20 19:09] Train Step 4699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2354.30, Accuracy = 0.64, Loss = 1.162
