Namespace(batch_size=64, device='cuda:0', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, lstm_num_hidden=128, lstm_num_layers=2, max_norm=5.0, print_every=50, sample_every=100, seq_length=30, summary_path='./summaries/', train_steps=1000000.0, txt_file='./assets/book_NL_darwin_reis_om_de_wereld.txt')
cuda:0
./assets/book_NL_darwin_reis_om_de_wereld.txt
Initialize dataset with 1366815 characters, 115 unique.
[2020-11-20 19:11] Train Step 0049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2293.03, Accuracy = 0.26, Loss = 2.820
[2020-11-20 19:11] Train Step 0099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2242.34, Accuracy = 0.32, Loss = 2.470
[2020-11-20 19:11] Train Step 0149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2254.26, Accuracy = 0.32, Loss = 2.480
[2020-11-20 19:11] Train Step 0199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2329.04, Accuracy = 0.38, Loss = 2.112
[2020-11-20 19:11] Train Step 0249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2342.57, Accuracy = 0.40, Loss = 2.073
[2020-11-20 19:11] Train Step 0299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2345.32, Accuracy = 0.41, Loss = 2.036
[2020-11-20 19:11] Train Step 0349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2354.37, Accuracy = 0.42, Loss = 1.976
[2020-11-20 19:11] Train Step 0399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2345.27, Accuracy = 0.43, Loss = 1.979
[2020-11-20 19:11] Train Step 0449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2275.05, Accuracy = 0.45, Loss = 1.895
[2020-11-20 19:11] Train Step 0499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2269.13, Accuracy = 0.44, Loss = 1.868
[2020-11-20 19:12] Train Step 0549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2236.37, Accuracy = 0.45, Loss = 1.906
[2020-11-20 19:12] Train Step 0599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2458.67, Accuracy = 0.46, Loss = 1.822
[2020-11-20 19:12] Train Step 0649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2499.31, Accuracy = 0.45, Loss = 1.827
[2020-11-20 19:12] Train Step 0699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2352.14, Accuracy = 0.49, Loss = 1.738
[2020-11-20 19:12] Train Step 0749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2678.01, Accuracy = 0.47, Loss = 1.793
[2020-11-20 19:12] Train Step 0799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2584.59, Accuracy = 0.50, Loss = 1.696
[2020-11-20 19:12] Train Step 0849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2276.05, Accuracy = 0.47, Loss = 1.785
[2020-11-20 19:12] Train Step 0899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2335.05, Accuracy = 0.48, Loss = 1.769
[2020-11-20 19:12] Train Step 0949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2448.27, Accuracy = 0.51, Loss = 1.650
[2020-11-20 19:12] Train Step 0999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2416.14, Accuracy = 0.49, Loss = 1.683
[2020-11-20 19:12] Train Step 1049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2070.24, Accuracy = 0.49, Loss = 1.714
[2020-11-20 19:12] Train Step 1099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2321.32, Accuracy = 0.50, Loss = 1.651
[2020-11-20 19:12] Train Step 1149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2679.99, Accuracy = 0.50, Loss = 1.641
[2020-11-20 19:12] Train Step 1199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2315.54, Accuracy = 0.52, Loss = 1.670
[2020-11-20 19:12] Train Step 1249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2406.63, Accuracy = 0.50, Loss = 1.652
[2020-11-20 19:12] Train Step 1299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2313.30, Accuracy = 0.52, Loss = 1.615
[2020-11-20 19:12] Train Step 1349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2263.31, Accuracy = 0.51, Loss = 1.625
[2020-11-20 19:12] Train Step 1399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2272.74, Accuracy = 0.50, Loss = 1.656
[2020-11-20 19:12] Train Step 1449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2308.98, Accuracy = 0.50, Loss = 1.640
[2020-11-20 19:12] Train Step 1499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2315.26, Accuracy = 0.52, Loss = 1.585
[2020-11-20 19:12] Train Step 1549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2358.38, Accuracy = 0.49, Loss = 1.746
[2020-11-20 19:12] Train Step 1599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2218.79, Accuracy = 0.54, Loss = 1.563
[2020-11-20 19:12] Train Step 1649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2276.73, Accuracy = 0.54, Loss = 1.544
[2020-11-20 19:12] Train Step 1699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2425.79, Accuracy = 0.51, Loss = 1.614
[2020-11-20 19:12] Train Step 1749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2439.70, Accuracy = 0.52, Loss = 1.630
[2020-11-20 19:12] Train Step 1799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2704.37, Accuracy = 0.54, Loss = 1.496
[2020-11-20 19:12] Train Step 1849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2353.64, Accuracy = 0.54, Loss = 1.545
[2020-11-20 19:12] Train Step 1899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2526.48, Accuracy = 0.53, Loss = 1.588
[2020-11-20 19:12] Train Step 1949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2235.77, Accuracy = 0.52, Loss = 1.562
[2020-11-20 19:12] Train Step 1999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2269.82, Accuracy = 0.53, Loss = 1.587
[2020-11-20 19:12] Train Step 2049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2431.86, Accuracy = 0.52, Loss = 1.550
[2020-11-20 19:12] Train Step 2099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2338.88, Accuracy = 0.54, Loss = 1.538
[2020-11-20 19:12] Train Step 2149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2443.14, Accuracy = 0.55, Loss = 1.477
[2020-11-20 19:12] Train Step 2199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2394.16, Accuracy = 0.55, Loss = 1.465
[2020-11-20 19:12] Train Step 2249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2748.70, Accuracy = 0.54, Loss = 1.494
[2020-11-20 19:12] Train Step 2299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2319.22, Accuracy = 0.56, Loss = 1.479
[2020-11-20 19:12] Train Step 2349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2202.96, Accuracy = 0.52, Loss = 1.554
[2020-11-20 19:12] Train Step 2399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2502.57, Accuracy = 0.55, Loss = 1.464
[2020-11-20 19:12] Train Step 2449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2558.06, Accuracy = 0.55, Loss = 1.585
[2020-11-20 19:12] Train Step 2499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2385.84, Accuracy = 0.54, Loss = 1.525
[2020-11-20 19:13] Train Step 2549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2293.50, Accuracy = 0.55, Loss = 1.491
[2020-11-20 19:13] Train Step 2599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2320.22, Accuracy = 0.54, Loss = 1.536
[2020-11-20 19:13] Train Step 2649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2263.81, Accuracy = 0.55, Loss = 1.479
[2020-11-20 19:13] Train Step 2699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2643.90, Accuracy = 0.56, Loss = 1.464
[2020-11-20 19:13] Train Step 2749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2273.93, Accuracy = 0.56, Loss = 1.470
[2020-11-20 19:13] Train Step 2799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2285.92, Accuracy = 0.55, Loss = 1.453
[2020-11-20 19:13] Train Step 2849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2441.70, Accuracy = 0.54, Loss = 1.520
[2020-11-20 19:13] Train Step 2899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2423.69, Accuracy = 0.57, Loss = 1.437
[2020-11-20 19:13] Train Step 2949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2239.22, Accuracy = 0.55, Loss = 1.476
[2020-11-20 19:13] Train Step 2999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2502.75, Accuracy = 0.54, Loss = 1.528
[2020-11-20 19:13] Train Step 3049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2479.04, Accuracy = 0.54, Loss = 1.476
[2020-11-20 19:13] Train Step 3099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2336.72, Accuracy = 0.55, Loss = 1.493
[2020-11-20 19:13] Train Step 3149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2379.56, Accuracy = 0.56, Loss = 1.496
[2020-11-20 19:13] Train Step 3199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2350.02, Accuracy = 0.57, Loss = 1.396
[2020-11-20 19:13] Train Step 3249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2682.13, Accuracy = 0.56, Loss = 1.454
[2020-11-20 19:13] Train Step 3299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2315.18, Accuracy = 0.55, Loss = 1.493
[2020-11-20 19:13] Train Step 3349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2245.59, Accuracy = 0.57, Loss = 1.418
[2020-11-20 19:13] Train Step 3399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2316.54, Accuracy = 0.55, Loss = 1.453
[2020-11-20 19:13] Train Step 3449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2308.61, Accuracy = 0.54, Loss = 1.501
[2020-11-20 19:13] Train Step 3499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2454.51, Accuracy = 0.56, Loss = 1.431
[2020-11-20 19:13] Train Step 3549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2369.79, Accuracy = 0.57, Loss = 1.399
[2020-11-20 19:13] Train Step 3599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2420.19, Accuracy = 0.56, Loss = 1.466
[2020-11-20 19:13] Train Step 3649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2356.02, Accuracy = 0.54, Loss = 1.524
[2020-11-20 19:13] Train Step 3699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2306.32, Accuracy = 0.57, Loss = 1.437
[2020-11-20 19:13] Train Step 3749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2350.78, Accuracy = 0.57, Loss = 1.500
[2020-11-20 19:13] Train Step 3799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2253.03, Accuracy = 0.57, Loss = 1.387
[2020-11-20 19:13] Train Step 3849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2383.72, Accuracy = 0.53, Loss = 1.488
[2020-11-20 19:13] Train Step 3899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2445.46, Accuracy = 0.58, Loss = 1.411
[2020-11-20 19:13] Train Step 3949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2348.68, Accuracy = 0.58, Loss = 1.372
[2020-11-20 19:13] Train Step 3999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2337.49, Accuracy = 0.56, Loss = 1.424
[2020-11-20 19:13] Train Step 4049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2553.42, Accuracy = 0.53, Loss = 1.525
[2020-11-20 19:13] Train Step 4099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2547.65, Accuracy = 0.57, Loss = 1.402
[2020-11-20 19:13] Train Step 4149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2260.89, Accuracy = 0.57, Loss = 1.395
[2020-11-20 19:13] Train Step 4199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2286.64, Accuracy = 0.55, Loss = 1.488
[2020-11-20 19:13] Train Step 4249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2450.37, Accuracy = 0.57, Loss = 1.397
[2020-11-20 19:13] Train Step 4299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2445.79, Accuracy = 0.56, Loss = 1.487
[2020-11-20 19:13] Train Step 4349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2541.93, Accuracy = 0.57, Loss = 1.426
[2020-11-20 19:13] Train Step 4399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2469.44, Accuracy = 0.58, Loss = 1.419
[2020-11-20 19:13] Train Step 4449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2452.97, Accuracy = 0.56, Loss = 1.426
[2020-11-20 19:13] Train Step 4499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2556.33, Accuracy = 0.55, Loss = 1.454
[2020-11-20 19:13] Train Step 4549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2450.19, Accuracy = 0.55, Loss = 1.459
[2020-11-20 19:14] Train Step 4599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2248.18, Accuracy = 0.56, Loss = 1.445
[2020-11-20 19:14] Train Step 4649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2239.52, Accuracy = 0.58, Loss = 1.390
[2020-11-20 19:14] Train Step 4699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2196.83, Accuracy = 0.55, Loss = 1.491
[2020-11-20 19:14] Train Step 4749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2280.56, Accuracy = 0.58, Loss = 1.388
[2020-11-20 19:14] Train Step 4799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2223.90, Accuracy = 0.58, Loss = 1.386
[2020-11-20 19:14] Train Step 4849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2324.64, Accuracy = 0.58, Loss = 1.345
[2020-11-20 19:14] Train Step 4899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2347.70, Accuracy = 0.57, Loss = 1.382
[2020-11-20 19:14] Train Step 4949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2324.40, Accuracy = 0.58, Loss = 1.363
[2020-11-20 19:14] Train Step 4999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2605.36, Accuracy = 0.58, Loss = 1.421
[2020-11-20 19:14] Train Step 5049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2725.43, Accuracy = 0.60, Loss = 1.351
[2020-11-20 19:14] Train Step 5099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2250.60, Accuracy = 0.59, Loss = 1.353
[2020-11-20 19:14] Train Step 5149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2376.97, Accuracy = 0.57, Loss = 1.390
[2020-11-20 19:14] Train Step 5199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2319.08, Accuracy = 0.56, Loss = 1.447
[2020-11-20 19:14] Train Step 5249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2267.82, Accuracy = 0.58, Loss = 1.322
[2020-11-20 19:14] Train Step 5299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2339.82, Accuracy = 0.55, Loss = 1.438
[2020-11-20 19:14] Train Step 5349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2419.75, Accuracy = 0.57, Loss = 1.403
[2020-11-20 19:14] Train Step 5399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2290.39, Accuracy = 0.55, Loss = 1.478
[2020-11-20 19:14] Train Step 5449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2191.63, Accuracy = 0.57, Loss = 1.360
[2020-11-20 19:14] Train Step 5499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2396.15, Accuracy = 0.58, Loss = 1.377
[2020-11-20 19:14] Train Step 5549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2460.41, Accuracy = 0.57, Loss = 1.368
[2020-11-20 19:14] Train Step 5599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2248.39, Accuracy = 0.57, Loss = 1.401
[2020-11-20 19:14] Train Step 5649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2323.57, Accuracy = 0.56, Loss = 1.412
[2020-11-20 19:14] Train Step 5699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2352.12, Accuracy = 0.56, Loss = 1.424
[2020-11-20 19:14] Train Step 5749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2316.42, Accuracy = 0.58, Loss = 1.420
[2020-11-20 19:14] Train Step 5799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2355.73, Accuracy = 0.57, Loss = 1.387
[2020-11-20 19:14] Train Step 5849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2446.68, Accuracy = 0.57, Loss = 1.414
[2020-11-20 19:14] Train Step 5899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2164.58, Accuracy = 0.58, Loss = 1.361
[2020-11-20 19:14] Train Step 5949/1000000.000000, Batch Size = 64,                     Examples/Sec = 2323.33, Accuracy = 0.59, Loss = 1.313
[2020-11-20 19:14] Train Step 5999/1000000.000000, Batch Size = 64,                     Examples/Sec = 2177.94, Accuracy = 0.59, Loss = 1.378
[2020-11-20 19:14] Train Step 6049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2472.30, Accuracy = 0.58, Loss = 1.359
