Namespace(batch_size=64, device='cuda:0', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, lstm_num_hidden=128, lstm_num_layers=2, max_norm=5.0, print_every=50, sample_every=100, seq_length=30, summary_path='./summaries/', train_steps=1000000.0, txt_file='./assets/book_NL_tolstoy_anna_karenina.txt')
cuda:0
./assets/book_NL_tolstoy_anna_karenina.txt
Initialize dataset with 1314934 characters, 107 unique.
[2020-11-20 19:16] Train Step 0049/1000000.000000, Batch Size = 64,                     Examples/Sec = 2486.62, Accuracy = 0.24, Loss = 2.815
[2020-11-20 19:16] Train Step 0099/1000000.000000, Batch Size = 64,                     Examples/Sec = 2281.30, Accuracy = 0.32, Loss = 2.405
[2020-11-20 19:16] Train Step 0149/1000000.000000, Batch Size = 64,                     Examples/Sec = 2316.86, Accuracy = 0.36, Loss = 2.199
[2020-11-20 19:16] Train Step 0199/1000000.000000, Batch Size = 64,                     Examples/Sec = 2321.82, Accuracy = 0.40, Loss = 2.083
[2020-11-20 19:16] Train Step 0249/1000000.000000, Batch Size = 64,                     Examples/Sec = 2410.71, Accuracy = 0.40, Loss = 2.001
[2020-11-20 19:16] Train Step 0299/1000000.000000, Batch Size = 64,                     Examples/Sec = 2162.05, Accuracy = 0.44, Loss = 1.930
[2020-11-20 19:16] Train Step 0349/1000000.000000, Batch Size = 64,                     Examples/Sec = 2576.06, Accuracy = 0.45, Loss = 1.866
[2020-11-20 19:16] Train Step 0399/1000000.000000, Batch Size = 64,                     Examples/Sec = 2444.68, Accuracy = 0.46, Loss = 1.774
[2020-11-20 19:16] Train Step 0449/1000000.000000, Batch Size = 64,                     Examples/Sec = 2255.93, Accuracy = 0.45, Loss = 1.821
[2020-11-20 19:16] Train Step 0499/1000000.000000, Batch Size = 64,                     Examples/Sec = 2446.59, Accuracy = 0.47, Loss = 1.732
[2020-11-20 19:16] Train Step 0549/1000000.000000, Batch Size = 64,                     Examples/Sec = 2647.11, Accuracy = 0.48, Loss = 1.787
[2020-11-20 19:16] Train Step 0599/1000000.000000, Batch Size = 64,                     Examples/Sec = 2443.12, Accuracy = 0.51, Loss = 1.658
[2020-11-20 19:16] Train Step 0649/1000000.000000, Batch Size = 64,                     Examples/Sec = 2282.87, Accuracy = 0.50, Loss = 1.689
[2020-11-20 19:17] Train Step 0699/1000000.000000, Batch Size = 64,                     Examples/Sec = 2419.14, Accuracy = 0.50, Loss = 1.669
[2020-11-20 19:17] Train Step 0749/1000000.000000, Batch Size = 64,                     Examples/Sec = 2586.38, Accuracy = 0.49, Loss = 1.738
[2020-11-20 19:17] Train Step 0799/1000000.000000, Batch Size = 64,                     Examples/Sec = 2430.47, Accuracy = 0.51, Loss = 1.634
[2020-11-20 19:17] Train Step 0849/1000000.000000, Batch Size = 64,                     Examples/Sec = 2276.67, Accuracy = 0.50, Loss = 1.657
[2020-11-20 19:17] Train Step 0899/1000000.000000, Batch Size = 64,                     Examples/Sec = 2255.46, Accuracy = 0.50, Loss = 1.606
