Namespace(batch_size=64, device='cuda', dropout_keep_prob=1.0, learning_rate=0.01, learning_rate_decay=0.96, learning_rate_step=5000, lstm_num_hidden=512, lstm_num_layers=2, max_epochs=5, max_norm=5.0, print_every=100, sample_every=5000, seq_length=30, summary_path='./summaries/', train_steps=50000, txt_file='./assets/book_EN_grimms_fairy_tails.txt')
Device: cuda
Txt file: ./assets/book_EN_grimms_fairy_tails.txt
Initialize dataset with 550595 characters, 91 unique.
[2020-11-27 17:17] EPOCH 0 Train Step 0099/50000, Batch Size = 64,                         Examples/Sec = 5705.69, Accuracy = 0.48, Loss = 1.795
[2020-11-27 17:17] EPOCH 0 Train Step 0199/50000, Batch Size = 64,                         Examples/Sec = 5596.95, Accuracy = 0.53, Loss = 1.593
[2020-11-27 17:17] EPOCH 0 Train Step 0299/50000, Batch Size = 64,                         Examples/Sec = 5821.13, Accuracy = 0.56, Loss = 1.461
[2020-11-27 17:17] EPOCH 0 Train Step 0399/50000, Batch Size = 64,                         Examples/Sec = 5595.55, Accuracy = 0.57, Loss = 1.458
[2020-11-27 17:17] EPOCH 0 Train Step 0499/50000, Batch Size = 64,                         Examples/Sec = 5350.30, Accuracy = 0.57, Loss = 1.403
[2020-11-27 17:17] EPOCH 0 Train Step 0599/50000, Batch Size = 64,                         Examples/Sec = 5374.94, Accuracy = 0.57, Loss = 1.361
[2020-11-27 17:17] EPOCH 0 Train Step 0699/50000, Batch Size = 64,                         Examples/Sec = 5585.42, Accuracy = 0.58, Loss = 1.393
[2020-11-27 17:17] EPOCH 0 Train Step 0799/50000, Batch Size = 64,                         Examples/Sec = 5905.65, Accuracy = 0.59, Loss = 1.351
[2020-11-27 17:17] EPOCH 0 Train Step 0899/50000, Batch Size = 64,                         Examples/Sec = 5610.29, Accuracy = 0.60, Loss = 1.343
[2020-11-27 17:17] EPOCH 0 Train Step 0999/50000, Batch Size = 64,                         Examples/Sec = 5545.84, Accuracy = 0.59, Loss = 1.336
[2020-11-27 17:17] EPOCH 0 Train Step 1099/50000, Batch Size = 64,                         Examples/Sec = 5670.13, Accuracy = 0.59, Loss = 1.299
[2020-11-27 17:17] EPOCH 0 Train Step 1199/50000, Batch Size = 64,                         Examples/Sec = 5630.06, Accuracy = 0.58, Loss = 1.330
[2020-11-27 17:17] EPOCH 0 Train Step 1299/50000, Batch Size = 64,                         Examples/Sec = 5871.29, Accuracy = 0.62, Loss = 1.269
[2020-11-27 17:17] EPOCH 0 Train Step 1399/50000, Batch Size = 64,                         Examples/Sec = 5488.69, Accuracy = 0.58, Loss = 1.348
[2020-11-27 17:17] EPOCH 0 Train Step 1499/50000, Batch Size = 64,                         Examples/Sec = 6019.14, Accuracy = 0.60, Loss = 1.298
[2020-11-27 17:17] EPOCH 0 Train Step 1599/50000, Batch Size = 64,                         Examples/Sec = 6231.82, Accuracy = 0.59, Loss = 1.261
[2020-11-27 17:17] EPOCH 0 Train Step 1699/50000, Batch Size = 64,                         Examples/Sec = 6068.67, Accuracy = 0.60, Loss = 1.311
[2020-11-27 17:17] EPOCH 0 Train Step 1799/50000, Batch Size = 64,                         Examples/Sec = 5505.92, Accuracy = 0.59, Loss = 1.297
[2020-11-27 17:17] EPOCH 0 Train Step 1899/50000, Batch Size = 64,                         Examples/Sec = 5590.66, Accuracy = 0.61, Loss = 1.278
[2020-11-27 17:17] EPOCH 0 Train Step 1999/50000, Batch Size = 64,                         Examples/Sec = 5778.15, Accuracy = 0.58, Loss = 1.357
[2020-11-27 17:17] EPOCH 0 Train Step 2099/50000, Batch Size = 64,                         Examples/Sec = 5947.26, Accuracy = 0.61, Loss = 1.224
[2020-11-27 17:17] EPOCH 0 Train Step 2199/50000, Batch Size = 64,                         Examples/Sec = 5634.67, Accuracy = 0.59, Loss = 1.285
[2020-11-27 17:17] EPOCH 0 Train Step 2299/50000, Batch Size = 64,                         Examples/Sec = 6142.83, Accuracy = 0.57, Loss = 1.328
[2020-11-27 17:17] EPOCH 0 Train Step 2399/50000, Batch Size = 64,                         Examples/Sec = 5475.59, Accuracy = 0.61, Loss = 1.263
[2020-11-27 17:17] EPOCH 0 Train Step 2499/50000, Batch Size = 64,                         Examples/Sec = 5873.99, Accuracy = 0.60, Loss = 1.295
[2020-11-27 17:17] EPOCH 0 Train Step 2599/50000, Batch Size = 64,                         Examples/Sec = 5609.23, Accuracy = 0.61, Loss = 1.267
[2020-11-27 17:18] EPOCH 0 Train Step 2699/50000, Batch Size = 64,                         Examples/Sec = 5660.09, Accuracy = 0.62, Loss = 1.229
[2020-11-27 17:18] EPOCH 0 Train Step 2799/50000, Batch Size = 64,                         Examples/Sec = 5644.38, Accuracy = 0.60, Loss = 1.273
[2020-11-27 17:18] EPOCH 0 Train Step 2899/50000, Batch Size = 64,                         Examples/Sec = 6100.39, Accuracy = 0.59, Loss = 1.321
[2020-11-27 17:18] EPOCH 0 Train Step 2999/50000, Batch Size = 64,                         Examples/Sec = 5247.08, Accuracy = 0.62, Loss = 1.209
[2020-11-27 17:18] EPOCH 0 Train Step 3099/50000, Batch Size = 64,                         Examples/Sec = 6193.00, Accuracy = 0.61, Loss = 1.244
[2020-11-27 17:18] EPOCH 0 Train Step 3199/50000, Batch Size = 64,                         Examples/Sec = 5406.56, Accuracy = 0.59, Loss = 1.282
[2020-11-27 17:18] EPOCH 0 Train Step 3299/50000, Batch Size = 64,                         Examples/Sec = 5717.23, Accuracy = 0.59, Loss = 1.289
[2020-11-27 17:18] EPOCH 0 Train Step 3399/50000, Batch Size = 64,                         Examples/Sec = 5650.32, Accuracy = 0.60, Loss = 1.276
[2020-11-27 17:18] EPOCH 0 Train Step 3499/50000, Batch Size = 64,                         Examples/Sec = 5544.81, Accuracy = 0.62, Loss = 1.219
[2020-11-27 17:18] EPOCH 0 Train Step 3599/50000, Batch Size = 64,                         Examples/Sec = 5413.42, Accuracy = 0.60, Loss = 1.270
[2020-11-27 17:18] EPOCH 0 Train Step 3699/50000, Batch Size = 64,                         Examples/Sec = 5620.15, Accuracy = 0.60, Loss = 1.290
[2020-11-27 17:18] EPOCH 0 Train Step 3799/50000, Batch Size = 64,                         Examples/Sec = 5308.72, Accuracy = 0.60, Loss = 1.303
[2020-11-27 17:18] EPOCH 0 Train Step 3899/50000, Batch Size = 64,                         Examples/Sec = 5743.41, Accuracy = 0.60, Loss = 1.268
[2020-11-27 17:18] EPOCH 0 Train Step 3999/50000, Batch Size = 64,                         Examples/Sec = 5661.88, Accuracy = 0.60, Loss = 1.283
[2020-11-27 17:18] EPOCH 0 Train Step 4099/50000, Batch Size = 64,                         Examples/Sec = 5536.46, Accuracy = 0.62, Loss = 1.230
[2020-11-27 17:18] EPOCH 0 Train Step 4199/50000, Batch Size = 64,                         Examples/Sec = 5573.59, Accuracy = 0.61, Loss = 1.240
[2020-11-27 17:18] EPOCH 0 Train Step 4299/50000, Batch Size = 64,                         Examples/Sec = 5772.43, Accuracy = 0.60, Loss = 1.318
[2020-11-27 17:18] EPOCH 0 Train Step 4399/50000, Batch Size = 64,                         Examples/Sec = 4747.21, Accuracy = 0.60, Loss = 1.245
[2020-11-27 17:18] EPOCH 0 Train Step 4499/50000, Batch Size = 64,                         Examples/Sec = 6098.73, Accuracy = 0.60, Loss = 1.255
[2020-11-27 17:18] EPOCH 0 Train Step 4599/50000, Batch Size = 64,                         Examples/Sec = 5588.45, Accuracy = 0.59, Loss = 1.284
[2020-11-27 17:18] EPOCH 0 Train Step 4699/50000, Batch Size = 64,                         Examples/Sec = 5934.77, Accuracy = 0.59, Loss = 1.278
[2020-11-27 17:18] EPOCH 0 Train Step 4799/50000, Batch Size = 64,                         Examples/Sec = 5542.87, Accuracy = 0.61, Loss = 1.280
[2020-11-27 17:18] EPOCH 0 Train Step 4899/50000, Batch Size = 64,                         Examples/Sec = 5651.39, Accuracy = 0.61, Loss = 1.243
[2020-11-27 17:18] EPOCH 0 Train Step 4999/50000, Batch Size = 64,                         Examples/Sec = 5211.73, Accuracy = 0.59, Loss = 1.300
[2020-11-27 17:18] EPOCH 0 Train Step 5099/50000, Batch Size = 64,                         Examples/Sec = 5560.55, Accuracy = 0.59, Loss = 1.373
[2020-11-27 17:18] EPOCH 0 Train Step 5199/50000, Batch Size = 64,                         Examples/Sec = 5556.63, Accuracy = 0.60, Loss = 1.320
[2020-11-27 17:18] EPOCH 0 Train Step 5299/50000, Batch Size = 64,                         Examples/Sec = 5292.18, Accuracy = 0.64, Loss = 1.162
[2020-11-27 17:18] EPOCH 0 Train Step 5399/50000, Batch Size = 64,                         Examples/Sec = 5601.51, Accuracy = 0.60, Loss = 1.270
[2020-11-27 17:18] EPOCH 0 Train Step 5499/50000, Batch Size = 64,                         Examples/Sec = 5820.75, Accuracy = 0.61, Loss = 1.254
[2020-11-27 17:18] EPOCH 0 Train Step 5599/50000, Batch Size = 64,                         Examples/Sec = 6022.65, Accuracy = 0.58, Loss = 1.365
[2020-11-27 17:18] EPOCH 0 Train Step 5699/50000, Batch Size = 64,                         Examples/Sec = 5488.80, Accuracy = 0.59, Loss = 1.333
[2020-11-27 17:18] EPOCH 0 Train Step 5799/50000, Batch Size = 64,                         Examples/Sec = 5493.52, Accuracy = 0.61, Loss = 1.252
