Namespace(batch_size=64, device='cuda', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, load_model=None, lstm_num_hidden=512, lstm_num_layers=2, max_epochs=5, max_norm=5.0, plot=False, print_every=100, sample_every=1000, seq_length=30, summary_path='./summaries/', train=True, train_steps=42000, txt_file='./assets/book_NL_darwin_reis_om_de_wereld.txt')
Device: cuda
Txt file: ./assets/book_NL_darwin_reis_om_de_wereld.txt
Initialize dataset with 1366815 characters, 115 unique.
[2020-11-28 00:38] EPOCH 0 Train Step 0099/42000, Batch Size = 64,                         Examples/Sec = 4597.13, Accuracy = 0.32, Loss = 2.468
[2020-11-28 00:38] EPOCH 0 Train Step 0199/42000, Batch Size = 64,                         Examples/Sec = 4541.75, Accuracy = 0.39, Loss = 2.150
[2020-11-28 00:38] EPOCH 0 Train Step 0299/42000, Batch Size = 64,                         Examples/Sec = 4635.47, Accuracy = 0.41, Loss = 2.083
[2020-11-28 00:38] EPOCH 0 Train Step 0399/42000, Batch Size = 64,                         Examples/Sec = 5665.82, Accuracy = 0.42, Loss = 1.950
[2020-11-28 00:38] EPOCH 0 Train Step 0499/42000, Batch Size = 64,                         Examples/Sec = 5671.93, Accuracy = 0.43, Loss = 1.923
[2020-11-28 00:38] EPOCH 0 Train Step 0599/42000, Batch Size = 64,                         Examples/Sec = 4991.92, Accuracy = 0.46, Loss = 1.816
[2020-11-28 00:38] EPOCH 0 Train Step 0699/42000, Batch Size = 64,                         Examples/Sec = 5118.13, Accuracy = 0.50, Loss = 1.697
[2020-11-28 00:38] EPOCH 0 Train Step 0799/42000, Batch Size = 64,                         Examples/Sec = 5221.67, Accuracy = 0.49, Loss = 1.742
[2020-11-28 00:38] EPOCH 0 Train Step 0899/42000, Batch Size = 64,                         Examples/Sec = 5283.85, Accuracy = 0.50, Loss = 1.699
[2020-11-28 00:38] EPOCH 0 Train Step 0999/42000, Batch Size = 64,                         Examples/Sec = 5361.85, Accuracy = 0.48, Loss = 1.744
[2020-11-28 00:38] EPOCH 0 Train Step 1099/42000, Batch Size = 64,                         Examples/Sec = 5616.16, Accuracy = 0.50, Loss = 1.672
[2020-11-28 00:38] EPOCH 0 Train Step 1199/42000, Batch Size = 64,                         Examples/Sec = 4899.44, Accuracy = 0.49, Loss = 1.695
[2020-11-28 00:38] EPOCH 0 Train Step 1299/42000, Batch Size = 64,                         Examples/Sec = 4953.32, Accuracy = 0.51, Loss = 1.644
[2020-11-28 00:38] EPOCH 0 Train Step 1399/42000, Batch Size = 64,                         Examples/Sec = 4938.02, Accuracy = 0.50, Loss = 1.634
[2020-11-28 00:38] EPOCH 0 Train Step 1499/42000, Batch Size = 64,                         Examples/Sec = 5358.85, Accuracy = 0.53, Loss = 1.538
[2020-11-28 00:38] EPOCH 0 Train Step 1599/42000, Batch Size = 64,                         Examples/Sec = 5701.20, Accuracy = 0.53, Loss = 1.590
[2020-11-28 00:38] EPOCH 0 Train Step 1699/42000, Batch Size = 64,                         Examples/Sec = 6458.21, Accuracy = 0.54, Loss = 1.585
[2020-11-28 00:38] EPOCH 0 Train Step 1799/42000, Batch Size = 64,                         Examples/Sec = 5110.33, Accuracy = 0.54, Loss = 1.547
