Namespace(batch_size=64, device='cuda', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, load_model=None, lstm_num_hidden=512, lstm_num_layers=2, max_epochs=5, max_norm=5.0, plot=False, print_every=250, sample_every=1000, seq_length=30, summary_path='./summaries/', train=True, train_steps=50000, txt_file='./assets/book_EN_democracy_in_the_US.txt')
Device: cuda
Txt file: ./assets/book_EN_democracy_in_the_US.txt
Initialize dataset with 1148437 characters, 86 unique.
[2020-11-28 13:32] EPOCH 0 Train Step 0249/50000, Batch Size = 64,                         Examples/Sec = 6196.86, Accuracy = 0.44, Loss = 1.948
[2020-11-28 13:32] EPOCH 0 Train Step 0499/50000, Batch Size = 64,                         Examples/Sec = 5682.02, Accuracy = 0.51, Loss = 1.698
[2020-11-28 13:33] EPOCH 0 Train Step 0749/50000, Batch Size = 64,                         Examples/Sec = 5989.72, Accuracy = 0.54, Loss = 1.543
[2020-11-28 13:33] EPOCH 0 Train Step 0999/50000, Batch Size = 64,                         Examples/Sec = 5754.00, Accuracy = 0.58, Loss = 1.424
[2020-11-28 13:33] EPOCH 0 Train Step 1249/50000, Batch Size = 64,                         Examples/Sec = 5502.08, Accuracy = 0.59, Loss = 1.348
[2020-11-28 13:33] EPOCH 0 Train Step 1499/50000, Batch Size = 64,                         Examples/Sec = 5576.26, Accuracy = 0.57, Loss = 1.424
[2020-11-28 13:33] EPOCH 0 Train Step 1749/50000, Batch Size = 64,                         Examples/Sec = 5664.27, Accuracy = 0.57, Loss = 1.419
[2020-11-28 13:33] EPOCH 0 Train Step 1999/50000, Batch Size = 64,                         Examples/Sec = 6071.00, Accuracy = 0.59, Loss = 1.363
[2020-11-28 13:33] EPOCH 0 Train Step 2249/50000, Batch Size = 64,                         Examples/Sec = 5531.44, Accuracy = 0.63, Loss = 1.218
[2020-11-28 13:33] EPOCH 0 Train Step 2499/50000, Batch Size = 64,                         Examples/Sec = 6072.24, Accuracy = 0.62, Loss = 1.237
[2020-11-28 13:33] EPOCH 0 Train Step 2749/50000, Batch Size = 64,                         Examples/Sec = 5905.65, Accuracy = 0.60, Loss = 1.254
[2020-11-28 13:33] EPOCH 0 Train Step 2999/50000, Batch Size = 64,                         Examples/Sec = 5644.14, Accuracy = 0.61, Loss = 1.248
[2020-11-28 13:33] EPOCH 0 Train Step 3249/50000, Batch Size = 64,                         Examples/Sec = 6269.51, Accuracy = 0.63, Loss = 1.235
[2020-11-28 13:33] EPOCH 0 Train Step 3499/50000, Batch Size = 64,                         Examples/Sec = 5425.79, Accuracy = 0.61, Loss = 1.240
[2020-11-28 13:33] EPOCH 0 Train Step 3749/50000, Batch Size = 64,                         Examples/Sec = 5903.44, Accuracy = 0.64, Loss = 1.177
[2020-11-28 13:33] EPOCH 0 Train Step 3999/50000, Batch Size = 64,                         Examples/Sec = 5843.94, Accuracy = 0.62, Loss = 1.207
[2020-11-28 13:33] EPOCH 0 Train Step 4249/50000, Batch Size = 64,                         Examples/Sec = 5926.51, Accuracy = 0.64, Loss = 1.192
[2020-11-28 13:33] EPOCH 0 Train Step 4499/50000, Batch Size = 64,                         Examples/Sec = 6178.17, Accuracy = 0.62, Loss = 1.220
[2020-11-28 13:34] EPOCH 0 Train Step 4749/50000, Batch Size = 64,                         Examples/Sec = 6182.16, Accuracy = 0.64, Loss = 1.196
[2020-11-28 13:34] EPOCH 0 Train Step 4999/50000, Batch Size = 64,                         Examples/Sec = 5817.85, Accuracy = 0.64, Loss = 1.174
[2020-11-28 13:34] EPOCH 0 Train Step 5249/50000, Batch Size = 64,                         Examples/Sec = 6201.29, Accuracy = 0.63, Loss = 1.210
[2020-11-28 13:34] EPOCH 0 Train Step 5499/50000, Batch Size = 64,                         Examples/Sec = 5489.70, Accuracy = 0.64, Loss = 1.175
[2020-11-28 13:34] EPOCH 0 Train Step 5749/50000, Batch Size = 64,                         Examples/Sec = 5787.62, Accuracy = 0.64, Loss = 1.167
[2020-11-28 13:34] EPOCH 0 Train Step 5999/50000, Batch Size = 64,                         Examples/Sec = 6221.42, Accuracy = 0.66, Loss = 1.144
[2020-11-28 13:34] EPOCH 0 Train Step 6249/50000, Batch Size = 64,                         Examples/Sec = 5930.44, Accuracy = 0.64, Loss = 1.181
[2020-11-28 13:34] EPOCH 0 Train Step 6499/50000, Batch Size = 64,                         Examples/Sec = 5895.15, Accuracy = 0.65, Loss = 1.127
