Namespace(batch_size=64, device='cuda', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, lstm_num_hidden=512, lstm_num_layers=2, max_epochs=5, max_norm=5.0, plot=False, print_every=100, sample_every=1000, seq_length=30, summary_path='./summaries/', train_steps=40000, txt_file='./assets/book_EN_grimms_fairy_tails.txt')
Device: cuda
Txt file: ./assets/book_EN_grimms_fairy_tails.txt
Initialize dataset with 550595 characters, 91 unique.
[2020-11-27 18:36] EPOCH 0 Train Step 0099/40000, Batch Size = 64,                         Examples/Sec = 5687.91, Accuracy = 0.40, Loss = 2.148
[2020-11-27 18:36] EPOCH 0 Train Step 0199/40000, Batch Size = 64,                         Examples/Sec = 6105.38, Accuracy = 0.44, Loss = 1.969
[2020-11-27 18:36] EPOCH 0 Train Step 0299/40000, Batch Size = 64,                         Examples/Sec = 5992.26, Accuracy = 0.47, Loss = 1.783
[2020-11-27 18:36] EPOCH 0 Train Step 0399/40000, Batch Size = 64,                         Examples/Sec = 6238.33, Accuracy = 0.48, Loss = 1.781
[2020-11-27 18:36] EPOCH 0 Train Step 0499/40000, Batch Size = 64,                         Examples/Sec = 5786.00, Accuracy = 0.55, Loss = 1.540
[2020-11-27 18:36] EPOCH 0 Train Step 0599/40000, Batch Size = 64,                         Examples/Sec = 6622.64, Accuracy = 0.53, Loss = 1.559
[2020-11-27 18:36] EPOCH 0 Train Step 0699/40000, Batch Size = 64,                         Examples/Sec = 5889.97, Accuracy = 0.55, Loss = 1.491
[2020-11-27 18:36] EPOCH 0 Train Step 0799/40000, Batch Size = 64,                         Examples/Sec = 6415.61, Accuracy = 0.55, Loss = 1.498
[2020-11-27 18:36] EPOCH 0 Train Step 0899/40000, Batch Size = 64,                         Examples/Sec = 6067.71, Accuracy = 0.55, Loss = 1.510
[2020-11-27 18:36] EPOCH 0 Train Step 0999/40000, Batch Size = 64,                         Examples/Sec = 5891.65, Accuracy = 0.58, Loss = 1.439
[2020-11-27 18:36] EPOCH 0 Train Step 1099/40000, Batch Size = 64,                         Examples/Sec = 6209.18, Accuracy = 0.57, Loss = 1.398
[2020-11-27 18:36] EPOCH 0 Train Step 1199/40000, Batch Size = 64,                         Examples/Sec = 6034.16, Accuracy = 0.59, Loss = 1.405
[2020-11-27 18:36] EPOCH 0 Train Step 1299/40000, Batch Size = 64,                         Examples/Sec = 6111.36, Accuracy = 0.60, Loss = 1.305
[2020-11-27 18:36] EPOCH 0 Train Step 1399/40000, Batch Size = 64,                         Examples/Sec = 5856.56, Accuracy = 0.59, Loss = 1.309
