Namespace(batch_size=64, device='cuda', dropout_keep_prob=1.0, learning_rate=0.002, learning_rate_decay=0.96, learning_rate_step=5000, load_model=None, lstm_num_hidden=512, lstm_num_layers=2, max_epochs=5, max_norm=5.0, plot=False, print_every=100, sample_every=1000, seq_length=30, summary_path='./summaries/', train=True, train_steps=42000, txt_file='./assets/book_NL_darwin_reis_om_de_wereld.txt')
Device: cuda
Txt file: ./assets/book_NL_darwin_reis_om_de_wereld.txt
Initialize dataset with 1366815 characters, 115 unique.
[2020-11-28 01:08] EPOCH 0 Train Step 0099/42000, Batch Size = 64,                         Examples/Sec = 5937.66, Accuracy = 0.31, Loss = 2.466
[2020-11-28 01:08] EPOCH 0 Train Step 0199/42000, Batch Size = 64,                         Examples/Sec = 5309.56, Accuracy = 0.40, Loss = 2.164
[2020-11-28 01:08] EPOCH 0 Train Step 0299/42000, Batch Size = 64,                         Examples/Sec = 5461.56, Accuracy = 0.41, Loss = 2.070
[2020-11-28 01:08] EPOCH 0 Train Step 0399/42000, Batch Size = 64,                         Examples/Sec = 5400.68, Accuracy = 0.43, Loss = 1.964
[2020-11-28 01:08] EPOCH 0 Train Step 0499/42000, Batch Size = 64,                         Examples/Sec = 5420.64, Accuracy = 0.46, Loss = 1.867
[2020-11-28 01:08] EPOCH 0 Train Step 0599/42000, Batch Size = 64,                         Examples/Sec = 5238.17, Accuracy = 0.43, Loss = 1.958
[2020-11-28 01:08] EPOCH 0 Train Step 0699/42000, Batch Size = 64,                         Examples/Sec = 5351.48, Accuracy = 0.44, Loss = 1.832
[2020-11-28 01:08] EPOCH 0 Train Step 0799/42000, Batch Size = 64,                         Examples/Sec = 5706.54, Accuracy = 0.47, Loss = 1.789
[2020-11-28 01:08] EPOCH 0 Train Step 0899/42000, Batch Size = 64,                         Examples/Sec = 5267.57, Accuracy = 0.48, Loss = 1.696
[2020-11-28 01:08] EPOCH 0 Train Step 0999/42000, Batch Size = 64,                         Examples/Sec = 5592.75, Accuracy = 0.48, Loss = 1.746
[2020-11-28 01:08] EPOCH 0 Train Step 1099/42000, Batch Size = 64,                         Examples/Sec = 5324.20, Accuracy = 0.50, Loss = 1.689
[2020-11-28 01:08] EPOCH 0 Train Step 1199/42000, Batch Size = 64,                         Examples/Sec = 5756.83, Accuracy = 0.50, Loss = 1.679
[2020-11-28 01:08] EPOCH 0 Train Step 1299/42000, Batch Size = 64,                         Examples/Sec = 5931.36, Accuracy = 0.53, Loss = 1.639
[2020-11-28 01:08] EPOCH 0 Train Step 1399/42000, Batch Size = 64,                         Examples/Sec = 5175.76, Accuracy = 0.50, Loss = 1.598
